"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence ISO (1)";"Contenu ISO (1)";"Référence ISO (2)";"Contenu ISO (2)";"Référence ISO (3)";"Contenu ISO (3)";"Référence ISO (4)";"Contenu ISO (4)";"Référence ISO (5)";"Contenu ISO (5)";"Référence ISO (6)";"Contenu ISO (6)";"Référence ISO (7)";"Contenu ISO (7)"
"10.B.4-EI/EE";"L’élément secret d’un compte n’est connu, que des utilisateurs autorisés à utiliser le compte (par exemple : les mots de passe des comptes partagés peuvent être stockés dans un coffre-fort de mots de passe).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;
"10.B.5-EI/EE";"Les facteurs d’authentification sont conformes aux recommandations de l’autorité nationale de sécurité des systèmes d’information en matière de complexité, en tenant compte du niveau de complexité maximal permis par la ressource concernée, et en matière de fréquence de renouvellement.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";"La norme ISO 27002 prévoit des mesures de sécurisation des facteurs d'authentification, le référentiel NIS 2 va au-delà en prévoyant que les mécanismes d'authentification mis en œuvre respectent les recommandations de l'ANSSI.";"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;
"10.B.6-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas de modifier l'élément secret, l’entité met en œuvre un contrôle d'accès approprié à la ressource concernée ainsi que des mesures de réduction du risque lié à l'utilisation d'un élément secret d'authentification fixe.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-6.1.3 Traitement des risques de sécurité de l'information";"6.1.3 Traitement des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.3 Traitement des risques de sécurité de l'information";"8.3 Traitement des risques de sécurité de l'information";;;;;;
"10.B.7-EE";"Dans le cadre de cette exception, l’entité met également en œuvre des mesures de sécurité permettant d'assurer la traçabilité des accès.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteEssentielle";"élevé";;"27002:2022-8.5 Authentification sécurisée";"8.5 Authentification sécurisée";;;;;;;;;;;;
"10.C.1-EI/EE";"L’entité n’attribue des droits qu’aux utilisateurs et processus automatiques authentifiés.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.15 Contrôle d'accès";"5.15 Contrôle d'accès";"27002:2022-5.18 Droits d'accès";"5.18 Droits d'accès";"27002:2022-8.3 Restrictions d'accès aux informations";"8.3 Restrictions d'accès aux informations";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;
"10.C.2-EI/EE";"Pour chaque utilisateur ou chaque processus automatique, l’entité n'attribue les droits d'accès qu’aux seules ressources nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.15 Contrôle d'accès";"5.15 Contrôle d'accès";"27002:2022-5.18 Droits d'accès";"5.18 Droits d'accès";"27002:2022-8.3 Restrictions d'accès aux informations";"8.3 Restrictions d'accès aux informations";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;
"10.C.3-EI/EE";"Pour chaque ressource du système d’information, l’entité n’attribue les droits d’accès qu’aux seuls utilisateurs et processus automatiques justifiant d’un besoin au regard de leurs missions.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.15 Contrôle d'accès";"5.15 Contrôle d'accès";"27002:2022-5.18 Droits d'accès";"5.18 Droits d'accès";"27002:2022-8.3 Restrictions d'accès aux informations";"8.3 Restrictions d'accès aux informations";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;
"10.C.4-EI/EE";"L’entité effectue périodiquement, au moins annuellement, une revue des droits d’accès. Cette revue doit notamment vérifier le respect des présentes mesures relatives au droit d’accès et, le cas échéant, corriger les anomalies.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.18 Droits d'accès";"5.18 Droits d'accès";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;;;;;
"11.A.1-EI/EE";"Les actions d'administration sont effectuées exclusivement à partir de comptes d'administration et les comptes d'administration sont utilisés exclusivement pour les actions d'administration.
Par exemple : le compte d’administration d’un poste utilisateur est utilisé exclusivement pour l’administration de ce poste. L’utilisateur de ce poste dispose d’un compte bureautique non administrateur pour son utilisation quotidienne.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.3 Séparation des tâches";"5.3 Séparation des tâches";"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;;;
"11.A.2-EI/EE";"Les comptes d’administration ne sont utilisés que par des administrateurs ou des personnes autorisées.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.3 Séparation des tâches";"5.3 Séparation des tâches";"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;;;
"11.A.3-EI/EE";"Les comptes d’administration respectent les mesures relatives à la gestion des identités et des accès des utilisateurs aux systèmes d’information.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;;;;;
"11.A.4-EE";"Un compte d'administration est utilisé exclusivement pour se connecter aux ressources que ce compte administre pour effectuer des actions d’administration, ou à une ressource d’administration (par exemple : le compte administrateur d’un routeur est utilisé depuis un poste d’administration ou sur le routeur pour l’administrer).";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteEssentielle";"moyen";"La norme ISO 27002 prévoit de nombreuses mesures sur les accès à privilège mais ne sanctuarise pas les comptes d'administration à la seule réalisation des tâches d'administration.";"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;;;;;
"11.A.5-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas d’effectuer des actions d’administration à partir d'un compte d'administration, l’entité met en œuvre des mesures permettant d'assurer le contrôle de ces actions d'administration et des mesures de réduction du risque lié à l'utilisation d'un compte non dédié à l'administration.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-6.1.3 Traitement des risques de sécurité de l'information";"6.1.3 Traitement des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.3 Traitement des risques de sécurité de l'information";"8.3 Traitement des risques de sécurité de l'information";;;;;;
"11.A.6-EE";"L’entité établit et tient à jour la liste des comptes d'administration de ses systèmes d’information.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteEssentielle";"élevé";;"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";"27002:2022-8.18 Utilisation de programmes utilitaires à privilèges";"8.18 Utilisation de programmes utilitaires à privilèges";;;;;;;;;;
"11.A.7-EE";"Lors de toute modification d'un compte d’administration (ajout, suppression, suspension ou modification des droits associés), l’entité vérifie que les droits d'accès aux ressources et fonctionnalités sont attribués en cohérence avec les besoins d'utilisation du compte.
En particulier, afin de limiter la portée des droits individuels, ils sont attribués à chaque compte d’administration en les restreignant autant que possible au périmètre fonctionnel et technique de ce dernier.
Pour ceci, il est recommandé d’octroyer les droits d’administration au travers des groupes dont les comptes d’administration sont membres.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteEssentielle";"élevé";;"27002:2022-5.15 Contrôle d'accès";"5.15 Contrôle d'accès";"27002:2022-5.18 Droits d'accès";"5.18 Droits d'accès";"27002:2022-8.2 Droits d'accès privilégiés";"8.2 Droits d'accès privilégiés";;;;;;;;
"11.B.1-EI/EE";"L’entité applique sans retard injustifié les correctifs de sécurité sur les annuaires gérant les utilisateurs ou les ressources de ses systèmes d’information.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteImportante, EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"11.B.2-EE";"La sécurité des systèmes d’information de l’entité repose en grande partie sur la sécurité du ou des annuaires gérant les utilisateurs ou les ressources des systèmes d’information.
L’ensemble des ressources regroupant un annuaire, les ressources matérielles et logicielles hébergeant cet annuaire ou permettant de prendre le contrôle de cet annuaire (les comptes, les hyperviseurs, les machines d’administration, etc.) est désigné « cœur de confiance » (par exemple : Le Tier0 un annuaire AD DS constitue le cœur de confiance du système d’information).
Pour chacun de ses annuaires, l’entité identifie les ressources constituant son cœur de confiance.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"11.B.3-EE";"Les actions d’administration d’un cœur de confiance sont réalisées depuis des comptes d’administration dédiés à l’administration de cœurs de confiance.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"11.B.4-EE";"Les actions d'administration d’un cœur de confiance sont réalisées depuis des ressources dédiées exclusivement à l’administration de cœurs de confiance.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"11.B.5-EE";"Les connexions externes à un cœur de confiance, à destination des ressources d’administration de cœurs de confiance sont interdites par un dispositif de filtrage sur les ressources d’administration (par exemple : le filtrage peut être réalisé par le pare-feu local de la ressource d’administration du cœur de confiance).";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"11.B.6-EE";"L’entité effectue annuellement une revue de la configuration des annuaires gérant les utilisateurs ou les ressources de ses systèmes d’information, afin d’identifier tout élément inutile ou anormal.
Il est recommandé que cette revue s’appuie sur un outil automatisé.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"11.B.7-EE";"Lorsqu’elles existent, les recommandations de l’autorité nationale de sécurité des systèmes d’information relatives au cœur de confiance sont mises en œuvre (par exemple : guide de sécurisation, guide de réponses à incidents, mémos techniques, recommandations issues des outils de revues de configurations).";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteEssentielle";"faible";"La norme ISO 27002 prévoit de nombreuses mesures relatives à la gestion des identités mais ne précise pas la sécurisation des annuaires utilisés pour la gestion de ces identités.";;;;;;;;;;;;;;
"12.1-EE";"L’entité s’assure de l’élaboration, du maintien à jour et de la mise en œuvre d’une procédure de traitement des incidents de sécurité affectant ses systèmes d’information.";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteEssentielle";"élevé";;"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";;;;;;;;;;;;
"12.2-EE";"L’entité s’assure de la mise en œuvre des outils permettant de collecter les signalements remontés, en particulier par les sources suivantes :
•	Les employés de l’entité essentielle ;
•	Les clients et les usagers des activités et services mis en œuvre par l’entité essentielle ;
•	Les prestataires et les fournisseurs contractant avec l’entité essentielle.";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteEssentielle";"élevé";;"27002:2022-5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";"5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"27002:2022-6.8 Déclaration des événements de sécurité de l'information";"6.8 Déclaration des événements de sécurité de l'information";;;;;;;;
"12.3-EI/EE";"L’entité s’assure de la définition et de la mise en œuvre des mécanismes permettant d’analyser et de qualifier les événements remontés et d’identifier les incidents potentiels ou avérés.";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"27002:2022-5.25 Évaluation des événements de sécurité de l'information et prise de décision";"5.25 Évaluation des événements de sécurité de l'information et prise de décision";;;;;;;;;;
"12.4-EE";"L’entité s’assure de la définition et de la mise en œuvre des mécanismes organisationnels et techniques permettant de réagir en cas d’incident et de limiter les conséquences sur la fourniture des services.
Ces mécanismes sont repris, le cas échéant, dans la définition des plans de continuité et de reprise d’activité.";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteEssentielle";"élevé";;"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"27002:2022-5.26 Réponse aux incidents de sécurité de l'information";"5.26 Réponse aux incidents de sécurité de l'information";;;;;;;;;;
"12.5-EE";"En complément des dispositions de l’article 17 de la loi XXX, l’entité s’assure, après chaque incident de sécurité, qu’une analyse des causes de l’incident a été réalisée.
L’analyse des causes vise à définir et mettre en œuvre les mesures de sécurité permettant de limiter la vraisemblance d’un nouvel incident ou d’en réduire l’impact. L’entité conserve des preuves de cette analyse.";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteEssentielle";"élevé";;"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"27002:2022-5.26 Réponse aux incidents de sécurité de l'information";"5.26 Réponse aux incidents de sécurité de l'information";"27002:2022-5.27 Tirer des enseignements des incidents de sécurité de l'information";"5.27 Tirer des enseignements des incidents de sécurité de l'information";;;;;;;;
"12.6-EI/EE";"L’entité conserve les relevés techniques dont elles disposent (par exemple : rapport d’analyse, alertes remontées par les outils de protection contre les codes malveillants) et pouvant être utilisés comme éléments de preuve en cas de judiciarisation. Ces relevés techniques sont conservés pour une durée pertinente au regard de la protection des données à caractère personnel et en particulier la finalité du traitement.";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"27002:2022-5.28 Collecte des preuves";"5.28 Collecte des preuves";;;;;;;;;;
"12.7-EE";"Les relevés techniques relatifs aux analyses des incidents sont protégés d’un incident qui les rendrait inexploitables (par exemple : le stockage hors-ligne pour répondre à un incident de type rançongiciel).";"Objectif de sécurité 12: Identification et réaction aux incidents de sécurité";"Gestion des incidents";"EntiteEssentielle";"élevé";;"27002:2022-5.28 Collecte des preuves";"5.28 Collecte des preuves";;;;;;;;;;;;
"13.1-EI/EE";"L’entité définit et met en œuvre des procédures de sauvegarde et de restauration de ses systèmes d’information et des données qu’ils manipulent.";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.29 Sécurité de l'information pendant une perturbation";"5.29 Sécurité de l'information pendant une perturbation";"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";"27002:2022-8.13 Sauvegarde des informations";"8.13 Sauvegarde des informations";;;;;;;;
"13.2-EI/EE";"L’entité s’assure que les processus de sauvegarde et de restauration sont testés au minimum une fois par an. Ces tests visent notamment à vérifier la bonne réalisation des sauvegardes et leur bonne restauration.";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteImportante, EntiteEssentielle";"élevé";"La norme ISO 27002 prévoit la réalisation de tests des sauvegardes et de leur restauration, mais ne prescrit pas de fréquence de réalisation de ceux-ci.";"27002:2022-5.29 Sécurité de l'information pendant une perturbation";"5.29 Sécurité de l'information pendant une perturbation";"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";"27002:2022-8.13 Sauvegarde des informations";"8.13 Sauvegarde des informations";;;;;;;;
"13.3-EI/EE";"Les sauvegardes sont protégées d’un incident les rendant inexploitables (par exemple : le stockage hors-ligne pour répondre à un incident de type rançongiciel).";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.13 Sauvegarde des informations";"8.13 Sauvegarde des informations";;;;;;;;;;;;
"13.4-EE";"L’entité, pour chacun de ses activités et services, définit et documente la durée maximale d’interruption admissible (DMIA) et le point de rétablissement des données (PRD).";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteEssentielle";"élevé";"Bien que les termes utilisés dans le référentiel NIS 2, repris de la norme ISO 223XX, et dans la norme ISO 27002 soient différents, la finalité recherchée par les deux textes est identique.";"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";"27002:2022-8.13 Sauvegarde des informations";"8.13 Sauvegarde des informations";;;;;;;;;;
"13.5-EE";"Les mécanismes de sauvegarde sont dimensionnés pour répondre aux besoins de disponibilité associés aux différents services et aux différentes activités fournis par l’entité.";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.6 Dimensionnement";"8.6 Dimensionnement";;;;;;;;;;;;
"13.6-EE";"L’entité définit et met en œuvre un plan de continuité d’activité (PCA) et un plan de reprise d’activité (PRA) adaptés aux scénarios de crises d’origine cyber et cohérents avec la durée maximale d’interruption admissible et le point de rétablissement des données.";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteEssentielle";"élevé";;"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";;;;;;;;;;
"13.7-EE";"L’identification de ces mesures de continuité s’appuie notamment :
•	Sur la cartographie de l’écosystème ;
•	Sur la procédure de gestion des incidents pour détecter et réagir au plus tôt aux incidents ;
•	Sur la procédure de gestion des crises d’origine cyber pour permettre la reprise au plus tôt des services.";"Objectif de sécurité 13: Continuité et reprise d'activité";"Continuité et reprise d'activité";"EntiteEssentielle";"élevé";;"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";;;;;;;;;;;;
"14.1-EI/EE";"L’entité s’assure de la définition, du maintien à jour et de la mise en œuvre d’une procédure de gestion de crises en cas d’incident de sécurité sur ses systèmes d’information nécessitant le passage en mode crise (par exemple : pour les incidents importants au sens de l’article 17 du PJL).";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteImportante, EntiteEssentielle";"faible";"Les normes ISO 27001 et ISO 27002 n'abordent pas les spécificités liées à la gestion de crise d'origine cyber.";;;;;;;;;;;;;;
"14.2-EI/EE";"L’entité s’assure du maintien à jour d’une liste imprimée des personnes mobilisables dans la gestion de la crise sur les sujets relatifs à la sécurité numérique ainsi que leurs coordonnées.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteImportante, EntiteEssentielle";"faible";"Les normes ISO 27001 et ISO 27002 n'abordent pas les spécificités liées à la gestion de crise d'origine cyber.";;;;;;;;;;;;;;
"14.3-EI/EE";"L’entité s’assure que la liste des personnes mobilisables prévue au 14.2-EI/EE est accessible dans un format adapté à la nature de la crise (par exemple, la liste doit être accessible au format papier si les systèmes d’information ne sont plus disponibles, et elle doit être accessible au format numérique si la version papier n’est pas accessible).";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteImportante, EntiteEssentielle";"faible";"Les normes ISO 27001 et ISO 27002 n'abordent pas les spécificités liées à la gestion de crise d'origine cyber.";;;;;;;;;;;;;;
"14.4-EI/EE";"L’entité s’assure du maintien à jour d’un annuaire des parties prenantes externes à l’entité pertinente dans la gestion de la crise en s’appuyant sur la cartographie de l’écosystème.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteImportante, EntiteEssentielle";"moyen";"Les normes ISO 27001 et ISO 27002 prévoient des mesures permettant à l'entité de constituer une cartographie de son écosystème mais ne demandent pas explicitement la tenue d'un annuaire des prestataires / fournisseurs pertinents pour la gestion de crise d'origine cyber.";"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27002:2022-5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";"5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";;;;;;;;
"14.5-EI/EE";"L’entité essentielle s’assure de la mise en œuvre de retour d’expérience (RETEX) permettant d’identifier les axes d’amélioration et les mesures associées à mettre en œuvre suite à un entraînement, un exercice ou une crise réelle.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteImportante, EntiteEssentielle";"faible";"Les normes ISO 27001 et ISO 27002 n'abordent pas les spécificités liées à la gestion de crise d'origine cyber.";;;;;;;;;;;;;;
"14.6-EE";"L’entité s’assure de la définition, du maintien à jour et de la mise en œuvre des critères permettant d’activer et de désactiver le dispositif de gestion de crise prenant en compte les menaces cyber.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteEssentielle";"faible";"Les normes ISO 27001 et ISO 27002 n'abordent pas les spécificités liées à la gestion de crise d'origine cyber.";;;;;;;;;;;;;;
"14.7-EE";"L’entité s’assure de la définition, du maintien à jour et de la mise en œuvre des procédures et des mécanismes de gestion de la crise adaptés à la menace cyber en s’appuyant sur les recommandations de l’autorité nationale de sécurité des systèmes d’information.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteEssentielle";"faible";"Les normes ISO 27001 et ISO 27002 n'abordent pas les spécificités liées à la gestion de crise d'origine cyber.";;;;;;;;;;;;;;
"14.8-EE";"L’entité s’assure de la définition et de la mise en œuvre des mesures pour isoler, protéger et, le cas échéant, reconstruire les systèmes d’information concernés, activables en cas d’incident de sécurité.
Ces mesures prennent en compte les infrastructures, applicatifs et services numériques externalisés à des prestataires et sont mises en place en cohérence avec les plans de continuité et de reprise d’activité.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteEssentielle";"moyen";"La norme ISO 27002 prévoit des mesures en réponse à un incident de sécurité mais ne prévoit pas de mesure similaire pour répondre à une crise d'origine cyber. Cependant, ces mesures envisagées pour répondre à un incident peuvent être nécessaires pour répondre également à une crise d'origine cyber, mais pas suffisantes.";"27002:2022-5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"5.24 Planification et préparation de la gestion des incidents de sécurité de l'information";"27002:2022-5.26 Réponse aux incidents de sécurité de l'information";"5.26 Réponse aux incidents de sécurité de l'information";"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";;;;;;;;
"14.9-EE";"L’entité s’assure de la définition d’une stratégie de communication adaptée aux crises d’origine cyber, incluant des scénarios de crise, le schéma d’organisation de la communication de crise, les outils de pilotage de la communication et des éléments de langage sur des sujets sensibles ou de crise. Cette stratégie prend en compte les scénarios de menaces cyber identifiés.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteEssentielle";"moyen";"La norme ISO 27001 prévoit des obligations en matière de communication interne et externe, mais aucune disposition n'est prévue spécifiquement pour la communication de crise.";"27001:2022-7.4 Communication";"7.4 Communication";;;;;;;;;;;;
"14.10-EE";"L’entité s’assure de la disponibilité de moyens de communication de secours, si possible, sécurisés en temps de crise lorsque les moyens de communication habituels sont indisponibles.";"Objectif de sécurité 14: Réaction aux crises d'origine cyber";"Gestion de crise";"EntiteEssentielle";"moyen";"La norme ISO 27002 amène l'organisation à définir des stratégies de continuité d'activité mais ne précise pas les mesures dégradées dont l'organisation pourrait avoir besoin en cas de crise d'origine cyber.";"27002:2022-5.30 Préparation des TIC pour la continuité d'activité";"5.30 Préparation des TIC pour la continuité d'activité";;;;;;;;;;;;
